album,album_type,track_id,track_number,name,popularity,duration_ms,release_date,artists
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,7p7gRmIidSlIYrGNaaLYDK,2,E.M.I.C.I.D.A (Adoooro),31,204840,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,1dlwq2SjJVpp1KRlzzeXXg,3,Sozim,32,194240,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,2z39qAqEgZUC7vJUnatv5Y,4,Rotina,30,170586,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,1c8u8eAFIBHzox24Q9MMRC,5,Pra Mim (Isso É Viver),29,151173,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,0aK5pOk6Xo2hB2Mto0vSBa,6,Ainda Ontem,31,217346,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,3KbDMWpZCNscdAq7ea2iNW,7,Pra Não Ter Tempo Ruim,29,197746,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,0zUF40Gv49uGEhQnf5vBRu,8,Só Isso,33,231533,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,6s7zBFmqbgOqixjB8WTHoE,9,Vou Busca Minha Fulô,28,83800,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,7invwIucvRT7MQx2KlvPUg,10,Ela Diz,35,209973,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,60U9NrQvXR3qD3pywGznBn,11,"Por Deus, por Favor",27,181653,2009-05-01,['Emicida']
Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,1Mu24wXS9kB5bxTHeV0OhG,12,Preciso (Melô do Mundiko),27,214920,2009-05-01,['Emicida']
